Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,INFRATEL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2000-01-03,,381.65,26.7,,50.75,,,,399.25,756.9,1457.35,,1508.25,48.85,68.7,438.3,,293.5,170.0,1207.6,867.45,2307.55,74.75,28.95,15625.2,270.85,708.5,,229.35,,453.35,,,,213.45,,251.7,64.75,243.65,1835.05,,216.75,152.45,,155.7,,,116.35,2724.2,1179.95
2000-01-04,,385.55,26.85,,48.1,,,,370.5,754.55,1465.25,,1628.95,51.4,66.35,437.15,,304.05,173.8,1199.85,900.35,2281.05,73.05,30.25,16855.9,264.4,712.35,,246.95,,489.65,,,,206.55,,271.85,59.85,259.1,1810.45,,208.2,150.8,,147.4,,,114.7,2942.15,1260.65
2000-01-05,,383.0,26.3,,44.6,,,,359.95,735.3,1435.05,,1568.05,55.55,63.2,439.6,,292.8,166.95,1143.8,972.35,2199.9,69.5,28.15,15507.45,261.3,726.2,,228.4,,514.85,,,,223.1,,282.5,60.0,248.45,1746.9,,213.25,156.55,,138.4,,,114.0,2990.1,1176.55
2000-01-06,,377.5,25.95,,45.25,,,,380.3,785.65,1355.85,,1661.55,60.0,64.95,474.8,,296.45,168.3,1161.4,1048.45,2288.2,70.05,28.0,14266.85,260.1,784.3,,225.9,,524.55,,,,219.3,,294.35,60.6,261.0,1745.2,,222.1,168.25,,149.5,,,119.3,2932.25,1115.45
2000-01-07,,385.7,24.8,,42.9,,,,379.85,848.5,1247.55,,1529.1,64.65,62.65,512.8,,286.55,168.35,1106.55,1094.95,2412.95,67.4,27.05,13125.5,264.45,847.05,,208.85,,496.4,,,,215.75,,314.55,60.45,273.3,1605.6,,239.9,171.95,,146.35,,,116.5,2697.7,1026.25
2000-01-10,,415.0,25.0,,42.9,,,,384.95,912.2,1205.9,,1503.9,65.5,62.3,501.95,,287.2,165.9,1126.35,1022.9,2431.25,69.9,27.5,13757.3,251.35,914.85,,192.15,,497.2,,,,209.5,,308.5,57.35,269.5,1531.85,,258.85,182.25,,144.9,,,119.0,2701.35,966.7
2000-01-11,,415.2,23.2,,40.1,,,,372.8,853.75,1114.25,,1446.6,61.6,59.8,474.3,1554.45,283.85,163.4,1125.1,993.25,2485.8,69.35,26.35,12656.75,239.75,883.7,,176.8,,532.8,,,,195.1,,288.5,54.1,247.95,1507.2,,238.15,167.7,,141.0,,,114.55,2485.45,1019.95
2000-01-12,,417.65,24.0,,39.0,,,,378.0,882.7,1203.4,,1490.9,63.95,61.55,458.45,1678.85,285.6,165.45,1174.95,971.35,2647.8,74.9,27.1,13077.55,258.95,888.35,,162.7,,490.25,,,,202.2,,301.7,54.75,244.75,1417.0,,240.25,165.3,,147.9,,,115.45,2562.9,1063.85
2000-01-13,,418.7,23.6,,39.5,,,,376.0,881.4,1297.05,,1477.45,61.25,61.85,452.35,1813.2,283.85,165.1,1146.4,975.85,2786.65,79.35,26.7,12090.6,272.5,879.75,,167.35,,499.0,,,,198.85,,311.85,52.95,244.5,1492.5,,235.45,159.2,,148.85,,,115.1,2480.25,1023.1
2000-01-14,,410.0,23.25,,39.9,,,,374.4,869.65,1280.7,,1473.5,62.35,62.45,434.95,1958.3,286.55,165.45,1190.3,944.1,2702.1,79.0,25.95,12176.4,277.05,887.55,,159.85,,519.0,,,,194.4,,316.3,54.0,239.2,1578.35,,239.05,158.7,,144.5,,,113.9,2497.85,1001.85
2000-01-17,,411.35,25.15,,39.2,,,,375.85,875.95,1270.05,,1508.75,65.25,63.8,450.9,1801.65,302.2,178.7,1285.55,924.6,2598.25,85.35,28.05,11870.9,265.65,817.35,,153.5,,560.55,,,,195.0,,308.75,55.5,235.9,1704.65,,250.65,166.8,,143.75,,,115.55,2697.7,1042.35
2000-01-18,,414.05,24.9,,38.3,,,,380.75,881.05,1220.15,,1450.35,65.55,66.95,431.3,1774.5,305.75,165.7,1294.65,914.45,2561.45,84.8,27.8,11935.65,259.5,821.35,,149.5,,573.95,,,,186.4,,314.2,53.7,236.45,1644.75,,248.0,172.8,,139.2,,,114.05,2677.15,1009.3
2000-01-19,,419.35,25.6,,41.4,,,,376.85,900.85,1203.85,,1566.4,66.05,65.8,418.95,1851.15,305.25,179.0,1272.55,929.0,2528.95,91.6,29.7,12889.85,249.85,826.1,,161.5,,599.2,,,,192.15,,319.6,55.4,243.95,1702.3,,250.5,172.85,,142.15,,,117.4,2784.5,1090.05
2000-01-20,,420.55,24.45,,43.0,,,,371.2,895.7,1208.8,,1537.05,62.4,63.4,425.55,1757.85,291.35,178.6,1252.9,942.7,2524.4,96.35,30.6,12747.05,255.8,786.1,,174.45,,572.35,,,,192.4,,312.85,59.2,237.7,1675.35,,235.7,163.1,,141.1,,,116.4,2796.4,1149.15
2000-01-21,,425.85,25.1,,42.95,,,,369.3,888.25,1201.1,,1551.5,63.25,62.25,409.45,1781.35,299.55,188.15,1242.55,910.75,2548.1,99.35,30.3,13420.2,257.05,831.55,,188.45,,550.0,,,,190.75,,326.35,57.45,237.45,1809.4,,232.2,162.4,,138.85,,,114.2,2989.7,1176.85
2000-01-24,,458.4,24.8,,40.05,,,,355.2,884.75,1212.0,,1521.0,59.9,62.15,415.15,1923.9,293.05,200.55,1212.1,880.5,2578.5,107.3,29.1,13878.8,254.15,792.45,,203.55,,514.7,,,,191.85,,326.15,53.95,228.3,1899.25,,213.65,151.15,,140.05,,,112.0,3228.9,1223.15
2000-01-25,,494.7,25.05,,37.7,,,,348.55,881.25,1194.3,,1453.85,56.95,60.55,389.7,2077.85,303.15,216.6,1218.6,835.1,2552.05,115.9,29.1,14109.4,244.05,729.55,,200.6,,507.25,,,,189.3,,319.95,51.1,224.85,1944.1,,196.6,148.45,,137.7,,,107.55,3487.25,1209.0
2000-01-27,,472.95,27.05,,39.0,,,,365.9,830.3,1190.3,,1470.35,57.05,60.8,397.65,2080.6,316.6,229.7,1187.3,853.85,2559.65,125.2,31.45,7390.75,250.05,778.85,,194.95,,499.3,,,,204.45,,334.95,50.45,230.15,1871.7,,180.9,148.3,,138.7,,,108.2,3766.25,1221.1
2000-01-28,,480.65,29.25,,38.65,,,,375.25,792.45,1183.75,,1428.9,55.4,60.85,385.4,2196.95,324.4,227.9,1197.55,839.9,2523.75,135.25,34.0,7611.55,249.05,719.2,,210.55,,511.1,,,,205.4,,338.35,48.0,248.5,1928.6,,175.2,144.5,,136.2,,,105.75,4067.55,1286.9
2000-01-31,,460.5,31.6,,37.05,,,,382.2,746.75,1173.1,,1366.8,51.55,58.5,384.5,2030.4,333.5,237.75,1175.3,772.75,2440.0,146.1,36.75,7221.7,247.2,692.2,,227.4,,507.75,,,,209.7,,328.15,45.3,244.7,1938.9,,179.7,139.35,,136.05,,,97.3,3805.0,1213.1
2000-02-01,,460.3,34.15,,36.05,,,,378.95,731.5,1219.5,,1400.25,51.4,58.6,365.75,2162.25,350.55,240.95,1146.25,783.2,2326.7,157.8,39.7,7417.4,249.35,701.55,,230.6,,481.95,,,,215.1,,334.05,47.1,246.5,2094.05,,175.3,140.5,,134.75,,,97.85,4109.4,1226.65
2000-02-02,,460.1,36.9,,37.7,,,,400.3,731.05,1270.85,,1496.0,55.55,61.05,369.1,2024.25,351.4,244.0,1068.95,845.85,2406.95,170.45,42.9,7365.8,262.35,714.05,,222.0,,520.55,,,,214.65,,340.15,50.9,247.5,2261.45,,180.1,141.05,,129.1,,,100.25,4438.15,1252.55
2000-02-03,,456.1,39.85,,37.2,,,,381.8,714.15,1243.4,,1490.35,58.85,60.95,375.55,1956.5,341.9,225.95,1059.25,873.35,2437.9,156.85,41.25,7440.8,259.5,709.1,,207.4,,519.2,,,,209.7,,341.65,51.9,258.8,2214.75,,177.35,140.0,,125.55,,,100.95,4793.2,1351.35
2000-02-04,,456.7,43.05,,37.95,,,,370.85,713.5,1216.15,,1481.1,63.6,59.85,373.55,1986.6,357.2,228.95,1018.1,833.0,2346.75,144.4,38.7,7896.95,257.8,695.5,,204.0,,509.2,,,,212.1,,344.15,54.6,255.9,2137.0,,178.95,140.1,,123.7,,,97.3,5176.7,1341.8
2000-02-07,,453.65,39.65,,38.75,,,,368.4,701.7,1220.8,,1364.1,60.45,58.75,373.3,2062.95,355.45,246.7,995.35,821.95,2308.95,155.6,40.45,8496.2,253.95,747.3,,191.65,,505.85,,,,216.5,,343.6,58.0,247.4,2127.3,,177.8,139.0,,114.0,,,95.0,5259.15,1305.8
2000-02-08,,459.85,37.95,,38.7,,,,353.8,685.5,1205.65,,1387.95,57.35,56.95,401.95,1999.2,350.5,250.75,962.5,777.3,2306.95,151.55,37.25,8898.2,242.45,763.25,,190.0,,546.35,,,,209.8,,342.4,60.45,242.3,2237.95,,180.6,141.1,,118.1,,,92.5,4868.05,1335.7
2000-02-09,,457.15,36.05,,41.8,,,,380.75,707.4,1218.15,,1413.25,55.25,58.75,407.4,1999.0,329.15,252.5,971.25,810.25,2418.1,156.55,34.3,8709.75,250.55,824.35,,180.05,,529.2,,,,212.75,,350.4,60.1,245.4,2159.9,,183.65,144.4,,117.5,,,91.05,5209.5,1326.15
2000-02-10,,440.9,38.95,,45.15,,,,350.3,712.1,1197.6,,1418.2,56.55,61.5,401.1,1996.75,320.35,251.75,955.4,834.55,2331.1,169.1,35.7,9209.0,246.75,890.3,,172.5,,571.25,,,,206.6,,355.75,56.2,248.8,2145.6,,181.1,141.85,,117.1,,,89.8,5626.3,1339.35
2000-02-11,,443.35,42.1,,48.8,,,,327.7,704.15,1165.65,,1412.5,55.0,60.3,386.05,2156.5,343.65,232.1,920.7,869.5,2376.5,160.3,36.75,9945.75,240.95,961.55,,171.15,,616.95,,,,191.45,,363.3,55.7,250.1,2097.35,,169.75,140.2,,108.7,,,87.9,6076.4,1359.95
2000-02-14,,431.75,38.75,,44.9,,,,352.05,690.6,1152.45,,1362.15,52.4,57.15,368.8,2324.7,359.15,233.45,895.45,861.6,2300.3,171.7,39.45,10741.45,229.0,932.55,,157.5,,653.8,,,,189.45,,352.1,51.25,266.6,2114.1,,157.8,134.65,,102.05,,,83.8,6562.55,1391.9
2000-02-15,,416.65,35.65,,41.35,,,,332.9,653.3,1151.8,,1350.85,49.1,57.85,355.7,2508.4,332.6,227.6,893.65,838.1,2302.0,164.2,36.95,9961.75,227.25,1006.5,,149.6,,601.5,,,,177.9,,344.35,47.45,253.9,2031.75,,165.8,131.75,,102.05,,,84.15,7087.55,1343.85
2000-02-16,,399.1,38.1,,39.7,,,,330.05,674.7,1164.75,,1379.2,45.5,58.15,365.5,2423.1,341.6,245.85,891.85,835.2,2311.05,177.05,39.1,10037.85,228.15,997.2,,161.6,,553.4,,,,186.25,,348.15,47.0,250.0,2050.15,,164.85,135.35,,104.0,,,86.75,7654.55,1375.25
2000-02-17,,392.6,38.5,,41.4,,,,327.75,677.0,1257.85,,1489.55,46.5,62.8,357.4,2614.7,339.2,250.4,893.2,824.6,2327.05,179.75,38.85,10298.3,230.55,1030.1,,174.55,,529.45,,,,186.65,,354.55,48.05,250.0,2214.2,,166.35,135.85,,109.95,,,84.0,8266.95,1378.2
2000-02-18,,402.45,36.6,,40.8,,,,301.6,667.05,1201.15,,1608.75,45.9,67.85,345.7,2775.95,327.9,242.6,837.85,796.7,2513.0,174.35,37.55,9864.6,219.85,956.8,,174.85,,496.0,,,,183.25,,349.45,45.7,241.1,2391.35,,154.2,133.2,,106.75,,,80.1,8928.35,1362.6
2000-02-21,,402.75,35.4,,40.0,,,,293.95,665.7,1166.7,,1573.25,45.8,73.3,318.05,2819.15,319.15,236.15,860.45,798.35,2714.05,170.2,36.6,10254.75,213.95,979.9,,171.6,,507.8,,,,179.3,,345.65,42.9,244.2,2582.7,,166.55,133.15,,106.45,,,78.15,9587.45,1471.65
2000-02-22,,400.45,33.75,,38.2,,,,270.45,657.45,1126.75,,1473.0,44.65,79.2,292.75,2700.3,305.95,217.55,847.8,789.7,2931.2,158.9,34.05,9830.1,206.4,941.3,,163.2,,515.4,,,,175.3,,334.35,39.8,237.1,2673.8,,179.9,131.25,,107.25,,,73.2,8820.45,1528.05
2000-02-23,,406.85,34.55,,40.2,,,,264.45,665.65,1143.35,,1590.85,43.1,83.7,285.1,2548.8,330.45,219.45,858.85,780.3,2875.9,156.9,35.05,9214.95,213.4,866.05,,160.4,,514.75,,,,175.0,,329.8,41.25,234.05,2584.8,,168.05,128.75,,108.5,,,74.6,8114.85,1476.55
2000-02-24,,400.5,37.35,,42.6,,,,270.1,662.1,1149.55,,1568.95,40.75,77.0,284.05,2464.1,351.7,227.0,838.6,777.7,3086.75,148.8,34.65,9297.0,212.0,842.7,,153.85,,513.8,,,,171.8,,336.75,41.75,243.35,2766.7,,170.25,128.9,,107.05,,,74.55,7465.7,1541.7
2000-02-25,,392.95,39.45,,40.65,,,,270.05,641.85,1134.75,,1555.25,40.75,70.85,304.35,2317.3,379.85,227.0,821.75,763.75,3141.25,160.3,33.4,8987.2,208.95,810.15,,143.3,,496.15,,,,163.35,,328.6,44.8,241.0,2664.05,,182.9,128.5,,102.6,,,69.9,6868.45,1452.85
2000-02-28,,,38.85,,40.85,,,,291.55,635.85,1195.45,,1669.5,43.6,69.7,328.7,2262.75,409.7,227.55,826.65,790.0,3055.55,173.15,34.2,8509.7,220.5,803.5,,144.15,,510.25,,,,176.45,,333.1,46.25,245.45,2877.0,,181.05,130.75,,102.95,,,72.45,6994.45,1404.2
2000-02-29,,376.4,36.25,,38.2,,,,274.3,611.5,1149.5,,1550.05,41.1,65.55,323.8,2081.75,401.7,216.8,822.45,757.05,2864.2,171.3,32.75,8779.4,221.6,746.85,,140.45,,482.15,,,,167.25,,310.85,45.55,228.75,2665.15,,166.6,120.55,,101.1,,,70.35,6616.75,1310.75
